Movimiento,X,Y
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Down,230.0,100.0
Down,230.0,110.0
Down,230.0,120.0
Down,230.0,130.0
Down,230.0,140.0
Down,230.0,150.0
Down,230.0,160.0
Down,230.0,170.0
Down,230.0,180.0
Down,230.0,190.0
Down,230.0,200.0
Down,230.0,210.0
Down,230.0,220.0
Down,230.0,230.0
Down,230.0,240.0
Up,230.0,230.0
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Down,230.0,100.0
Down,230.0,110.0
Down,230.0,120.0
Down,230.0,130.0
Down,230.0,140.0
Down,230.0,150.0
Down,230.0,160.0
Down,230.0,170.0
Down,230.0,180.0
Down,230.0,190.0
Down,230.0,200.0
Down,230.0,210.0
Down,230.0,220.0
Down,230.0,230.0
Down,230.0,240.0
Down,230.0,250.0
Down,230.0,260.0
Down,230.0,270.0
Down,230.0,280.0
Down,230.0,290.0
Down,230.0,300.0
Down,230.0,310.0
Down,230.0,320.0
Down,230.0,330.0
Down,230.0,340.0
Down,230.0,350.0
Down,230.0,360.0
Down,230.0,370.0
Down,230.0,380.0
Down,230.0,390.0
Down,230.0,400.0
Down,230.0,410.0
Down,230.0,420.0
Down,230.0,430.0
Down,230.0,440.0
Down,230.0,450.0
Down,230.0,460.0
Down,230.0,470.0
Down,230.0,480.0
Down,230.0,490.0
Down,230.0,500.0
Down,230.0,510.0
Down,230.0,520.0
Down,230.0,530.0
Down,230.0,540.0
Down,230.0,550.0
Down,230.0,560.0
Down,230.0,570.0
Down,230.0,580.0
Down,230.0,590.0
Down,230.0,600.0
Down,230.0,610.0
Down,230.0,620.0
Down,230.0,630.0
Down,230.0,640.0
Down,230.0,650.0
Down,230.0,660.0
Down,230.0,670.0
Down,230.0,680.0
Down,230.0,690.0
Down,230.0,700.0
Down,230.0,710.0
Up,230.0,700.0
Up,230.0,690.0
Up,230.0,680.0
Up,230.0,670.0
Up,230.0,660.0
Up,230.0,650.0
Up,230.0,640.0
Up,230.0,630.0
Up,230.0,620.0
Up,230.0,610.0
Up,230.0,600.0
Up,230.0,590.0
Up,230.0,580.0
Up,230.0,570.0
Up,230.0,560.0
Up,230.0,550.0
Up,230.0,540.0
Up,230.0,530.0
Up,230.0,520.0
Up,230.0,510.0
Up,230.0,500.0
Up,230.0,490.0
Up,230.0,480.0
Up,230.0,470.0
Up,230.0,460.0
Up,230.0,450.0
Up,230.0,440.0
Up,230.0,430.0
Up,230.0,420.0
Up,230.0,410.0
Up,230.0,400.0
Up,230.0,390.0
Up,230.0,380.0
Up,230.0,370.0
Up,230.0,360.0
Up,230.0,350.0
Up,230.0,340.0
Up,230.0,330.0
Up,230.0,320.0
Up,230.0,310.0
Up,230.0,300.0
Up,230.0,290.0
Up,230.0,280.0
Up,230.0,270.0
Up,230.0,260.0
Up,230.0,250.0
Up,230.0,240.0
Up,230.0,230.0
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Up,230.0,80.0
Up,230.0,70.0
Up,230.0,60.0
Up,230.0,50.0
Up,230.0,40.0
Up,230.0,30.0
Up,230.0,20.0
Up,230.0,10.0
Up,230.0,0.0
Up,230.0,-10.0
Up,230.0,-20.0
Up,230.0,-30.0
Up,230.0,-40.0
Up,230.0,-50.0
Up,230.0,-60.0
Up,230.0,-70.0
Up,230.0,-80.0
Up,230.0,-90.0
Up,230.0,-100.0
Up,230.0,-110.0
Right,240.0,-110.0
Right,250.0,-110.0
Right,260.0,-110.0
Right,270.0,-110.0
Right,280.0,-110.0
Right,290.0,-110.0
Right,300.0,-110.0
Right,310.0,-110.0
Right,320.0,-110.0
Right,330.0,-110.0
Right,340.0,-110.0
Right,350.0,-110.0
Right,360.0,-110.0
Right,370.0,-110.0
Right,380.0,-110.0
Right,390.0,-110.0
Right,400.0,-110.0
Down,400.0,-100.0
Down,400.0,-90.0
Down,400.0,-80.0
Down,400.0,-70.0
Down,400.0,-60.0
Down,400.0,-50.0
Down,400.0,-40.0
Down,400.0,-30.0
Down,400.0,-20.0
Down,400.0,-10.0
Down,400.0,0.0
Down,400.0,10.0
Down,400.0,20.0
Down,400.0,30.0
Down,400.0,40.0
Down,400.0,50.0
Down,400.0,60.0
Down,400.0,70.0
Down,400.0,80.0
Down,400.0,90.0
Down,400.0,100.0
Down,400.0,110.0
Down,400.0,120.0
Down,400.0,130.0
Down,400.0,140.0
Down,400.0,150.0
Down,400.0,160.0
Down,400.0,170.0
Down,400.0,180.0
Down,400.0,190.0
Down,400.0,200.0
Down,400.0,210.0
Down,400.0,220.0
Down,400.0,230.0
Down,400.0,240.0
Down,400.0,250.0
Down,400.0,260.0
Down,400.0,270.0
Down,400.0,280.0
Down,400.0,290.0
Down,400.0,300.0
Down,400.0,310.0
Left,390.0,310.0
Left,380.0,310.0
Left,370.0,310.0
Left,360.0,310.0
Left,350.0,310.0
Left,340.0,310.0
Left,330.0,310.0
Left,320.0,310.0
Left,310.0,310.0
Left,300.0,310.0
Left,290.0,310.0
Left,280.0,310.0
Left,270.0,310.0
Left,260.0,310.0
Left,250.0,310.0
Left,240.0,310.0
Left,230.0,310.0
Left,220.0,310.0
Left,210.0,310.0
Left,200.0,310.0
Left,190.0,310.0
Left,180.0,310.0
Left,170.0,310.0
Left,160.0,310.0
Left,150.0,310.0
Left,140.0,310.0
Left,130.0,310.0
Left,120.0,310.0
Left,110.0,310.0
Left,100.0,310.0
Left,90.0,310.0
Left,80.0,310.0
Left,70.0,310.0
Left,60.0,310.0
Left,50.0,310.0
Left,40.0,310.0
Left,30.0,310.0
Left,20.0,310.0
Left,10.0,310.0
Left,0.0,310.0
Left,-10.0,310.0
Left,-20.0,310.0
Left,-30.0,310.0
Left,-40.0,310.0
Left,-50.0,310.0
Left,-60.0,310.0
Left,-70.0,310.0
Left,-80.0,310.0
Left,-90.0,310.0
Left,-100.0,310.0
Left,-110.0,310.0
Left,-120.0,310.0
Up,-120.0,300.0
Up,-120.0,290.0
Up,-120.0,280.0
Up,-120.0,270.0
Up,-120.0,260.0
Up,-120.0,250.0
Up,-120.0,240.0
Up,-120.0,230.0
Up,-120.0,220.0
Right,-110.0,220.0
Right,-100.0,220.0
Right,-90.0,220.0
Right,-80.0,220.0
Right,-70.0,220.0
Right,-60.0,220.0
Right,-50.0,220.0
Right,-40.0,220.0
Right,-30.0,220.0
Right,-20.0,220.0
Right,-10.0,220.0
Right,0.0,220.0
Right,10.0,220.0
Right,20.0,220.0
Right,30.0,220.0
Right,40.0,220.0
Right,50.0,220.0
Right,60.0,220.0
Right,70.0,220.0
Right,80.0,220.0
Right,90.0,220.0
Right,100.0,220.0
Right,110.0,220.0
Right,120.0,220.0
Right,130.0,220.0
Right,140.0,220.0
Right,150.0,220.0
Right,160.0,220.0
Right,170.0,220.0
Right,180.0,220.0
Right,190.0,220.0
Right,200.0,220.0
Right,210.0,220.0
Right,220.0,220.0
Right,230.0,220.0
Right,240.0,220.0
Right,250.0,220.0
Right,260.0,220.0
Right,270.0,220.0
Right,280.0,220.0
Right,290.0,220.0
Right,300.0,220.0
Right,310.0,220.0
Right,320.0,220.0
Right,330.0,220.0
Right,340.0,220.0
Right,350.0,220.0
Right,360.0,220.0
Right,370.0,220.0
Right,380.0,220.0
Right,390.0,220.0
Right,400.0,220.0
Right,410.0,220.0
Right,420.0,220.0
Right,430.0,220.0
Right,440.0,220.0
Right,450.0,220.0
Right,460.0,220.0
Right,470.0,220.0
Right,480.0,220.0
Right,490.0,220.0
Right,500.0,220.0
Right,510.0,220.0
Right,520.0,220.0
Right,530.0,220.0
Right,540.0,220.0
Right,550.0,220.0
Right,560.0,220.0
Right,570.0,220.0
Right,580.0,220.0
Right,590.0,220.0
Right,600.0,220.0
Right,610.0,220.0
Right,620.0,220.0
Right,630.0,220.0
Right,640.0,220.0
Right,650.0,220.0
Right,660.0,220.0
Right,670.0,220.0
Right,680.0,220.0
Right,690.0,220.0
Right,700.0,220.0
Right,710.0,220.0
Right,720.0,220.0
Right,730.0,220.0
Right,740.0,220.0
Right,750.0,220.0
Right,760.0,220.0
Right,770.0,220.0
Right,780.0,220.0
Right,790.0,220.0
Right,800.0,220.0
Right,810.0,220.0
Right,820.0,220.0
Right,830.0,220.0
Right,840.0,220.0
Right,850.0,220.0
Right,860.0,220.0
Right,870.0,220.0
Right,880.0,220.0
Right,890.0,220.0
Right,900.0,220.0
Right,910.0,220.0
Right,920.0,220.0
Right,930.0,220.0
Right,940.0,220.0
Right,950.0,220.0
Right,960.0,220.0
Right,970.0,220.0
Right,980.0,220.0
Right,990.0,220.0
Right,1000.0,220.0
Right,1010.0,220.0
Right,1020.0,220.0
Right,1030.0,220.0
Right,1040.0,220.0
Right,1050.0,220.0
Right,1060.0,220.0
Right,1070.0,220.0
Right,1080.0,220.0
Right,1090.0,220.0
Right,1100.0,220.0
Right,1110.0,220.0
Right,1120.0,220.0
Right,1130.0,220.0
Right,1140.0,220.0
Right,1150.0,220.0
Right,1160.0,220.0
Right,1170.0,220.0
Right,1180.0,220.0
Right,1190.0,220.0
Right,1200.0,220.0
Right,1210.0,220.0
Right,1220.0,220.0
Right,1230.0,220.0
Right,1240.0,220.0
Right,1250.0,220.0
Right,1260.0,220.0
Right,1270.0,220.0
Right,1280.0,220.0
Right,1290.0,220.0
Right,1300.0,220.0
Right,1310.0,220.0
Right,1320.0,220.0
Right,1330.0,220.0
Right,1340.0,220.0
Right,1350.0,220.0
Right,1360.0,220.0
Right,1370.0,220.0
Right,1380.0,220.0
Right,1390.0,220.0
Right,1400.0,220.0
Right,1410.0,220.0
Right,1420.0,220.0
Right,1430.0,220.0
Right,1440.0,220.0
Right,1450.0,220.0
Right,1460.0,220.0
Up,1460.0,210.0
Up,1460.0,200.0
Up,1460.0,190.0
Up,1460.0,180.0
Up,1460.0,170.0
Up,1460.0,160.0
Up,1460.0,150.0
Up,1460.0,140.0
Up,1460.0,130.0
Up,1460.0,120.0
Up,1460.0,110.0
Up,1460.0,100.0
Up,1460.0,90.0
Up,1460.0,80.0
Up,1460.0,70.0
Up,1460.0,60.0
Up,1460.0,50.0
Up,1460.0,40.0
Up,1460.0,30.0
Up,1460.0,20.0
Up,1460.0,10.0
Up,1460.0,0.0
Up,1460.0,-10.0
Left,1450.0,-10.0
Left,1440.0,-10.0
Left,1430.0,-10.0
Left,1420.0,-10.0
Left,1410.0,-10.0
Left,1400.0,-10.0
Left,1390.0,-10.0
Left,1380.0,-10.0
Left,1370.0,-10.0
Left,1360.0,-10.0
Left,1350.0,-10.0
Left,1340.0,-10.0
Left,1330.0,-10.0
Left,1320.0,-10.0
Left,1310.0,-10.0
Left,1300.0,-10.0
Left,1290.0,-10.0
Left,1280.0,-10.0
Left,1270.0,-10.0
Left,1260.0,-10.0
Left,1250.0,-10.0
Left,1240.0,-10.0
Left,1230.0,-10.0
Left,1220.0,-10.0
Left,1210.0,-10.0
Left,1200.0,-10.0
Left,1190.0,-10.0
Left,1180.0,-10.0
Left,1170.0,-10.0
Left,1160.0,-10.0
Left,1150.0,-10.0
Left,1140.0,-10.0
Left,1130.0,-10.0
Left,1120.0,-10.0
Left,1110.0,-10.0
Left,1100.0,-10.0
Left,1090.0,-10.0
Left,1080.0,-10.0
Left,1070.0,-10.0
Left,1060.0,-10.0
Left,1050.0,-10.0
Left,1040.0,-10.0
Left,1030.0,-10.0
Left,1020.0,-10.0
Left,1010.0,-10.0
Left,1000.0,-10.0
Left,990.0,-10.0
Left,980.0,-10.0
Left,970.0,-10.0
Left,960.0,-10.0
Left,950.0,-10.0
Left,940.0,-10.0
Left,930.0,-10.0
Left,920.0,-10.0
Left,910.0,-10.0
Left,900.0,-10.0
Left,890.0,-10.0
Left,880.0,-10.0
Left,870.0,-10.0
Left,860.0,-10.0
Left,850.0,-10.0
Left,840.0,-10.0
Left,830.0,-10.0
Left,820.0,-10.0
Left,810.0,-10.0
Left,800.0,-10.0
Left,790.0,-10.0
Left,780.0,-10.0
Left,770.0,-10.0
Left,760.0,-10.0
Left,750.0,-10.0
Left,740.0,-10.0
Left,730.0,-10.0
Left,720.0,-10.0
Down,720.0,0.0
Down,720.0,10.0
Down,720.0,20.0
Down,720.0,30.0
Down,720.0,40.0
Down,720.0,50.0
Down,720.0,60.0
Down,720.0,70.0
Down,720.0,80.0
Down,720.0,90.0
Down,720.0,100.0
Down,720.0,110.0
Down,720.0,120.0
Down,720.0,130.0
Down,720.0,140.0
Down,720.0,150.0
Down,720.0,160.0
Down,720.0,170.0
Down,720.0,180.0
Down,720.0,190.0
Down,720.0,200.0
Down,720.0,210.0
Down,720.0,220.0
Down,720.0,230.0
Down,720.0,240.0
Down,720.0,250.0
Down,720.0,260.0
Down,720.0,270.0
Down,720.0,280.0
Down,720.0,290.0
Down,720.0,300.0
Down,720.0,310.0
Down,720.0,320.0
Down,720.0,330.0
Up,720.0,320.0
Down,720.0,330.0
Down,720.0,340.0
Down,720.0,350.0
Down,720.0,360.0
Down,720.0,370.0
Down,720.0,380.0
Down,720.0,390.0
Down,720.0,400.0
Down,720.0,410.0
Down,720.0,420.0
Down,720.0,430.0
Down,720.0,440.0
Down,720.0,450.0
Down,720.0,460.0
Down,720.0,470.0
Down,720.0,480.0
Down,720.0,490.0
Down,720.0,500.0
Down,720.0,510.0
Down,720.0,520.0
Down,720.0,530.0
Down,720.0,540.0
Down,720.0,550.0
Down,720.0,560.0
Down,720.0,570.0
Down,720.0,580.0
Down,720.0,590.0
Down,720.0,600.0
Down,720.0,610.0
Down,720.0,620.0
Down,720.0,630.0
Down,720.0,640.0
Down,720.0,650.0
Down,720.0,660.0
Down,720.0,670.0
Down,720.0,680.0
Down,720.0,690.0
Down,720.0,700.0
Down,720.0,710.0
Down,720.0,720.0
Down,720.0,730.0
Down,720.0,740.0
Down,720.0,750.0
Down,720.0,760.0
Down,720.0,770.0
Down,720.0,780.0
Down,720.0,790.0
Down,720.0,800.0
Down,720.0,810.0
Down,720.0,820.0
Down,720.0,830.0
Down,720.0,840.0
Down,720.0,850.0
Down,720.0,860.0
Down,720.0,870.0
Down,720.0,880.0
Left,710.0,880.0
Left,700.0,880.0
Left,690.0,880.0
Left,680.0,880.0
Left,670.0,880.0
Left,660.0,880.0
Left,650.0,880.0
Left,640.0,880.0
Left,630.0,880.0
Left,620.0,880.0
Left,610.0,880.0
Left,600.0,880.0
Left,590.0,880.0
Left,580.0,880.0
Left,570.0,880.0
Left,560.0,880.0
Left,550.0,880.0
Left,540.0,880.0
Left,530.0,880.0
Left,520.0,880.0
Left,510.0,880.0
Left,500.0,880.0
Left,490.0,880.0
Left,480.0,880.0
Left,470.0,880.0
Left,460.0,880.0
Left,450.0,880.0
Left,440.0,880.0
Left,430.0,880.0
Left,420.0,880.0
Left,410.0,880.0
Left,400.0,880.0
Up,400.0,870.0
Up,400.0,860.0
Up,400.0,850.0
Up,400.0,840.0
